Year,EventCount,Fitted
1995,534,346.4677419354848
1996,767,451.2967741935572
1997,665,556.1258064516296
1998,753,660.954838709702
1999,776,765.7838709677453
2000,929,870.6129032258177
2001,689,975.4419354838901
2002,1023,1080.2709677419625
2003,1195,1185.1000000000058
2004,910,1289.9290322580782
2005,1133,1394.7580645161506
2006,952,1499.587096774194
2007,1352,1604.4161290322663
2008,1821,1709.2451612903387
2009,1833,1814.0741935484111
2010,2014,1918.9032258064544
2011,2065,2023.7322580645268
2012,1782,2128.5612903225992
2013,2223,2233.3903225806716
2014,2893,2338.219354838715
2015,2594,2443.0483870967873
2016,2569,2547.8774193548597
2017,2602,2652.706451612903
2018,3360,2757.5354838709754
2019,3404,2862.364516129048
2020,2619,2967.1935483871202
2021,2985,3072.0225806451635
2022,3800,3176.851612903236
2023,3442,3281.6806451613083
2024,2940,3386.5096774193808
2025,2862,3491.338709677424
