Province,Year,Mean Temp (°C),GHG_Emissions,GHG_Temp_Correlation
NEW BRUNSWICK,2015,4.026420708122583,13800.0,
NEW BRUNSWICK,2016,6.179365609348915,14624.0,
NEW BRUNSWICK,2017,5.428684684684685,13553.0,0.6069141286570764
NEW BRUNSWICK,2018,4.614870848708486,13404.0,0.906988838958498
NEW BRUNSWICK,2019,4.619602272727272,13099.0,0.7488373457646053
NEW BRUNSWICK,2020,6.457482891996429,11112.0,-0.9927354849237066
NEW BRUNSWICK,2021,6.724082104654524,11814.0,-0.8904831261537908
NEW BRUNSWICK,2022,6.2,12421.0,-0.45438330164637947
NEW BRUNSWICK,2023,6.567992159059087,11468.0,-0.7893525583788822
NEW BRUNSWICK,2024,6.841031390134529,,
NEWFOUNDLAND AND LABRADOR,2015,1.5235714285714286,10969.0,
NEWFOUNDLAND AND LABRADOR,2016,3.059130727762803,11016.0,
NEWFOUNDLAND AND LABRADOR,2017,2.8552776875608963,10923.0,0.12837890386927675
NEWFOUNDLAND AND LABRADOR,2018,1.81531684174856,10676.0,0.993460032394315
NEWFOUNDLAND AND LABRADOR,2019,2.0749781277340333,10841.0,0.8902057078147688
NEWFOUNDLAND AND LABRADOR,2020,3.20970571590266,8597.0,-0.9708604810670943
NEWFOUNDLAND AND LABRADOR,2021,4.3538229072227255,7980.0,-0.949355304383746
NEWFOUNDLAND AND LABRADOR,2022,2.9714016341923317,8051.0,-0.4502185934661471
NEWFOUNDLAND AND LABRADOR,2023,3.817947985138611,7919.0,-0.6414114794565349
NEWFOUNDLAND AND LABRADOR,2024,4.872462941847206,,
NOVA SCOTIA,2015,6.101848249027237,16303.0,
NOVA SCOTIA,2016,7.616574943347361,15574.0,
NOVA SCOTIA,2017,7.647114682249817,15881.0,-0.9004223632611451
NOVA SCOTIA,2018,7.4997224149895905,16547.0,-0.8721171019323926
NOVA SCOTIA,2019,6.836360677083333,15780.0,0.4560874059829281
NOVA SCOTIA,2020,8.210962284102926,14392.0,-0.6507476942562789
NOVA SCOTIA,2021,8.691310541310541,14249.0,-0.9860070774549928
NOVA SCOTIA,2022,8.49522630834512,14290.0,-0.990781982027042
NOVA SCOTIA,2023,8.180425531914894,13539.0,0.9052612752833854
NOVA SCOTIA,2024,8.562387952671209,,
PRINCE EDWARD ISLAND,2015,5.576055045871559,1543.0,
PRINCE EDWARD ISLAND,2016,6.51484593837535,1584.0,
PRINCE EDWARD ISLAND,2017,6.497876269621422,1609.0,0.920930779696718
PRINCE EDWARD ISLAND,2018,6.063452492944497,1587.0,0.37121821590295867
PRINCE EDWARD ISLAND,2019,5.63631067961165,1627.0,-0.4448869597032628
PRINCE EDWARD ISLAND,2020,7.053853383458647,1577.0,-0.8477961262145443
PRINCE EDWARD ISLAND,2021,7.60009328358209,1622.0,-0.33506972731203866
PRINCE EDWARD ISLAND,2022,7.5740375123395856,1600.0,0.8922575491360265
PRINCE EDWARD ISLAND,2023,7.272247918593894,1592.0,0.7549454296446998
PRINCE EDWARD ISLAND,2024,7.784817244611059,,
