City,Province,Year,Month,Weather_Variable,Pollutant,Correlation
ST. LEONARD,NEW BRUNSWICK,2015,1,Mean Temp (°C),PM2.5,
ST. LEONARD,NEW BRUNSWICK,2015,1,Mean Temp (°C),PM10,
ST. LEONARD,NEW BRUNSWICK,2015,1,Mean Temp (°C),NO2,
ST. LEONARD,NEW BRUNSWICK,2015,1,Mean Temp (°C),CO,
ST. LEONARD,NEW BRUNSWICK,2015,1,Mean Temp (°C),O3,0.3861435152550118
ST. LEONARD,NEW BRUNSWICK,2015,1,Mean Temp (°C),SO2,
ST. LEONARD,NEW BRUNSWICK,2015,1,Total Rain (mm),PM2.5,
ST. LEONARD,NEW BRUNSWICK,2015,1,Total Rain (mm),PM10,
ST. LEONARD,NEW BRUNSWICK,2015,1,Total Rain (mm),NO2,
ST. LEONARD,NEW BRUNSWICK,2015,1,Total Rain (mm),CO,
ST. LEONARD,NEW BRUNSWICK,2015,1,Total Rain (mm),O3,0.24298670682414708
ST. LEONARD,NEW BRUNSWICK,2015,1,Total Rain (mm),SO2,
ST. LEONARD,NEW BRUNSWICK,2015,1,Total Snow (cm),PM2.5,
ST. LEONARD,NEW BRUNSWICK,2015,1,Total Snow (cm),PM10,
ST. LEONARD,NEW BRUNSWICK,2015,1,Total Snow (cm),NO2,
ST. LEONARD,NEW BRUNSWICK,2015,1,Total Snow (cm),CO,
ST. LEONARD,NEW BRUNSWICK,2015,1,Total Snow (cm),O3,0.32668530352447345
ST. LEONARD,NEW BRUNSWICK,2015,1,Total Snow (cm),SO2,
ST. LEONARD,NEW BRUNSWICK,2015,1,Spd of Max Gust (km/h),PM2.5,
ST. LEONARD,NEW BRUNSWICK,2015,1,Spd of Max Gust (km/h),PM10,
ST. LEONARD,NEW BRUNSWICK,2015,1,Spd of Max Gust (km/h),NO2,
ST. LEONARD,NEW BRUNSWICK,2015,1,Spd of Max Gust (km/h),CO,
ST. LEONARD,NEW BRUNSWICK,2015,1,Spd of Max Gust (km/h),O3,
ST. LEONARD,NEW BRUNSWICK,2015,1,Spd of Max Gust (km/h),SO2,
ST. LEONARD,NEW BRUNSWICK,2015,2,Mean Temp (°C),PM2.5,
ST. LEONARD,NEW BRUNSWICK,2015,2,Mean Temp (°C),PM10,
ST. LEONARD,NEW BRUNSWICK,2015,2,Mean Temp (°C),NO2,
ST. LEONARD,NEW BRUNSWICK,2015,2,Mean Temp (°C),CO,
ST. LEONARD,NEW BRUNSWICK,2015,2,Mean Temp (°C),O3,0.5674724884326935
ST. LEONARD,NEW BRUNSWICK,2015,2,Mean Temp (°C),SO2,
ST. LEONARD,NEW BRUNSWICK,2015,2,Total Rain (mm),PM2.5,
ST. LEONARD,NEW BRUNSWICK,2015,2,Total Rain (mm),PM10,
ST. LEONARD,NEW BRUNSWICK,2015,2,Total Rain (mm),NO2,
ST. LEONARD,NEW BRUNSWICK,2015,2,Total Rain (mm),CO,
ST. LEONARD,NEW BRUNSWICK,2015,2,Total Rain (mm),O3,
ST. LEONARD,NEW BRUNSWICK,2015,2,Total Rain (mm),SO2,
ST. LEONARD,NEW BRUNSWICK,2015,2,Total Snow (cm),PM2.5,
ST. LEONARD,NEW BRUNSWICK,2015,2,Total Snow (cm),PM10,
ST. LEONARD,NEW BRUNSWICK,2015,2,Total Snow (cm),NO2,
ST. LEONARD,NEW BRUNSWICK,2015,2,Total Snow (cm),CO,
ST. LEONARD,NEW BRUNSWICK,2015,2,Total Snow (cm),O3,0.14943239296945396
ST. LEONARD,NEW BRUNSWICK,2015,2,Total Snow (cm),SO2,
ST. LEONARD,NEW BRUNSWICK,2015,2,Spd of Max Gust (km/h),PM2.5,
ST. LEONARD,NEW BRUNSWICK,2015,2,Spd of Max Gust (km/h),PM10,
ST. LEONARD,NEW BRUNSWICK,2015,2,Spd of Max Gust (km/h),NO2,
ST. LEONARD,NEW BRUNSWICK,2015,2,Spd of Max Gust (km/h),CO,
ST. LEONARD,NEW BRUNSWICK,2015,2,Spd of Max Gust (km/h),O3,
ST. LEONARD,NEW BRUNSWICK,2015,2,Spd of Max Gust (km/h),SO2,
ST. LEONARD,NEW BRUNSWICK,2015,3,Mean Temp (°C),PM2.5,
ST. LEONARD,NEW BRUNSWICK,2015,3,Mean Temp (°C),PM10,
