"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-66.09","43.83","YARMOUTH A","8206500","1940-01","1940","01","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1940-02","1940","02","0.6","","-6.6","","-3.0","","6.7","","-14.4","","","M","","M","","M","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1940-03","1940","03","1.7","","-4.3","","-1.3","","8.3","S","-14.4","","71.6","","9.1","","80.8","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1940-04","1940","04","6.8","","-0.9","","3.0","","14.4","","-3.9","S","138.4","","1.3","","139.7","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1940-05","1940","05","13.6","","5.8","","9.7","","18.9","","1.7","","56.4","","0.0","","56.4","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1940-06","1940","06","16.4","","8.4","","12.4","","20.0","","4.4","S","85.9","","0.0","","85.9","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1940-07","1940","07","20.6","","11.7","","16.2","","28.3","","7.2","","59.4","","0.0","","59.4","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1940-08","1940","08","20.7","","11.3","","16.0","","27.2","","7.2","S","10.2","","0.0","","10.2","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1940-09","1940","09","17.3","","9.8","","13.6","","22.8","","2.2","","181.1","","0.0","","181.1","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1940-10","1940","10","11.1","","4.0","","7.6","","21.1","","-1.7","","43.4","","0.0","T","43.4","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1940-11","1940","11","7.7","","1.4","","4.6","","13.3","","-7.8","","","M","6.9","","","M","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1940-12","1940","12","4.6","","-4.3","","0.2","","11.1","","-13.3","","139.7","","38.1","","177.8","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1941-01","1941","01","-2.0","","-7.2","","-4.6","","4.4","","-19.4","","54.6","","92.5","","147.1","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1941-02","1941","02","0.7","","-5.1","","-2.2","","6.7","S","-12.2","","33.8","","18.0","","51.8","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1941-03","1941","03","1.3","","-4.0","","-1.4","","9.4","","-13.9","","50.8","","50.8","","101.6","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1941-04","1941","04","8.8","","1.5","","5.2","","13.3","","-3.3","","27.7","","0.0","T","27.7","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1941-05","1941","05","13.3","","4.7","","9.0","","18.9","","-1.1","","104.1","","0.0","","104.1","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1941-06","1941","06","17.5","","8.7","","13.1","","24.4","","5.6","","54.1","","0.0","","54.1","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1941-07","1941","07","19.6","","11.6","","15.6","","23.9","","9.4","","97.5","","0.0","","97.5","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1941-08","1941","08","18.4","","11.1","","14.8","","24.4","","8.3","","121.9","","0.0","","121.9","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1941-09","1941","09","16.6","","9.0","","12.8","","25.6","","2.8","","35.3","","0.0","","35.3","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1941-10","1941","10","11.9","","5.3","","8.6","","16.7","","-2.2","","113.5","","0.0","T","113.5","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1941-11","1941","11","8.8","","1.4","","5.1","","14.4","","-4.4","","111.3","","0.0","T","111.3","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1941-12","1941","12","3.4","","-3.3","","0.1","","10.6","S","-15.6","","72.4","","22.1","","94.5","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1942-01","1942","01","0.4","","-7.2","","-3.4","","10.0","","-17.2","","62.2","","102.6","","164.8","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1942-02","1942","02","-1.7","","-7.1","","-4.4","","6.7","","-15.0","","30.0","","38.4","","68.3","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1942-03","1942","03","4.8","","-0.8","","2.0","","10.6","","-3.9","","169.7","","11.4","","181.1","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1942-04","1942","04","8.7","","1.4","","5.1","","16.1","S","-2.8","","67.1","","2.5","","69.6","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1942-05","1942","05","14.4","","6.4","","10.4","","21.1","S","1.7","S","83.8","","0.0","","83.8","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1942-06","1942","06","18.0","","9.6","","13.8","","26.1","S","4.4","","100.3","","0.0","","100.3","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1942-07","1942","07","20.7","","12.4","","16.6","","27.2","","9.4","S","40.1","","0.0","","40.1","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1942-08","1942","08","21.1","","12.1","","16.6","","25.0","","8.3","S","52.6","","0.0","","52.6","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1942-09","1942","09","19.6","","9.9","","14.8","","25.6","","0.6","","100.1","","0.0","","100.1","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1942-10","1942","10","14.6","","6.7","","10.7","","17.8","S","0.6","","151.4","","0.0","","151.4","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1942-11","1942","11","8.1","","0.2","","4.2","","17.2","","-4.4","S","97.3","","6.1","","103.4","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1942-12","1942","12","0.3","","-7.7","","-3.7","","10.0","","-20.0","","54.1","","75.2","","129.3","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1943-01","1943","01","-3.1","","-9.2","","-6.2","","4.4","","-17.8","","12.4","","88.1","","100.6","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1943-02","1943","02","1.6","","-6.5","","-2.5","","10.6","S","-21.1","","71.9","","100.8","","172.7","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1943-03","1943","03","3.3","","-4.0","","-0.4","","10.0","S","-13.9","","61.5","","22.6","","84.1","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1943-04","1943","04","6.9","","-0.3","","3.3","","15.6","","-5.6","","71.6","","7.4","","79.0","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1943-05","1943","05","13.9","","5.8","","9.9","","20.6","","0.0","","127.3","","0.0","","127.3","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1943-06","1943","06","17.9","","9.6","","13.8","","24.4","","3.3","","128.0","","0.0","","128.0","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1943-07","1943","07","21.6","","12.8","","17.2","","25.6","S","8.3","","133.1","","0.0","","133.1","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1943-08","1943","08","20.5","","12.8","","16.7","","24.4","","10.6","S","89.9","","0.0","","89.9","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1943-09","1943","09","18.8","","11.1","","15.0","","27.8","","4.4","","75.7","","0.0","","75.7","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1943-10","1943","10","13.8","","7.6","","10.7","","21.1","","-0.6","","95.3","","0.0","T","95.3","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1943-11","1943","11","8.4","","3.3","","5.9","","15.6","","-4.4","","185.7","","0.3","","185.9","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","1943-12","1943","12","1.8","","-5.1","","-1.7","","8.3","","-15.0","","55.1","","40.1","","95.3","","","","","","",""
