NAPS_ID,Station_Name,City,Province/Territory_EN,Latitude,Longitude,Elevation_m,Start_Date_Station_yyyy_mm_dd
060512,HAMILTON DOWNTOWN - ELGIN & KELLY,HAMILTON (ON),ONTARIO,43.25778,-79.86167,90,2/6/1987
090230,CALGARY - CENTRAL - INGLEWOOD,CALGARY (AB),ALBERTA,51.0309,-114.0091,1038,4/6/2015
100133,BURNABY - BURMOUNT,METRO VANCOUVER - BURNABY (BC),BRITISH COLUMBIA,49.266702,-122.935471,101,3/18/1990
100137,BURNABY - NORTH,METRO VANCOUVER - BURNABY (BC),BRITISH COLUMBIA,49.287483,-123.007975,70,6/9/1999
040901,ST. ANDREWS - HUNTSMAN MARINE SCIENCES CTR.,ST. ANDREWS (NB),NEW BRUNSWICK,45.086912,-67.074036,25,1/9/1995
061007,AAMJIWNAANG,SARNIA (ON),ONTARIO,42.912545,-82.416816,180,8/16/2008
020401,SOUTHAMPTON - 2580 CARDIGAN RD.,SOUTHAMPTON (PE),PRINCE EDWARD ISLAND,46.38635,-62.58272,30,1/1/2014
040208,SAINT JOHN - CHAMPLAIN HEIGHTS SCHOOL,SAINT JOHN (NB),NEW BRUNSWICK,45.291218,-66.00305,47,7/11/2000
050129,MONTRÉAL - RIVIÈRE-DES-PRAIRIES,MONTRÉAL (QC),QUEBEC,45.651691,-73.573825,29,12/4/1998
100111,PORT MOODY - ROCKY POINT PARK,METRO VANCOUVER - PORT MOODY (BC),BRITISH COLUMBIA,49.280893,-122.849291,6,5/25/1977
050134,MONTRÉAL - MOLSON ,MONTRÉAL (QC),QUEBEC,45.54271,-73.57176,53,9/28/2008
054401,SAINT-ANICET,SAINT-ANICET (QC),QUEBEC,45.120624,-74.2896,50,6/18/1994
062601,SIMCOE - EXPERIMENTAL FARM,SIMCOE (ON),ONTARIO,42.85685,-80.26964,236,1/1/1980
063601,LONGWOODS CONS. AUTHORITY,LONGWOODS (ON),ONTARIO,42.88333,-81.48333,240,2/18/1988
100202,PRINCE GEORGE - PLAZA 400,PRINCE GEORGE (BC),BRITISH COLUMBIA,53.91472,-122.74194,588,1/1/1995
100304,VICTORIA - TOPAZ,VICTORIA (BC),BRITISH COLUMBIA,48.441942,-123.363165,29,5/1/1998
119004,WHITEHORSE - STEELE ST.,WHITEHORSE (YT),YUKON,60.71972,-135.05875,640,9/23/2011
129303,IQALUIT - WATERLAB,IQALUIT (NU),NUNAVUT,63.751619,-68.522433,35,12/31/2013
010102,WATER STREET POST OFFICE,ST. JOHN'S (NL),NEWFOUNDLAND AND LABRADOR,47.56038,-52.71147,7,7/31/1988
030113,HALIFAX - JOHNSTON BUILDING,HALIFAX (NS),NOVA SCOTIA,44.64711,-63.57366,28,4/13/2006
080211,SASKATOON - CORMAN PARK,SASKATOON (SK),SASKATCHEWAN,52.13613,-106.66293,483,11/6/1992
129003,YELLOWKNIFE - SIR JOHN FRANKLIN HIGH SCHOOL,YELLOWKNIFE (NT),NORTHWEST TERRITORIES,62.45207,-114.364,193,1/1/2003
060104,OTTAWA DOWNTOWN - RIDEAU & WURTEMBURG,OTTAWA (ON),ONTARIO,45.43433,-75.676,68,1/1/1976
050136,MONTRÉAL - ST-DOMINIQUE,MONTRÉAL (QC),QUEBEC,45.512189,-73.566842,32,1/28/2016
050308,QUÉBEC - VIEUX-LIMOILOU,QUÉBEC (QC),QUEBEC,46.821177,-71.220495,8,12/16/1989
065101,NEWMARKET - EAGLE ST. & MCAFFREY RD.,NEWMARKET (ON),ONTARIO,44.04431,-79.48325,268,6/1/2001
090140,EDMONTON - MCCAULEY,EDMONTON (AB),ALBERTA,53.5495,-113.4859,1100,1/1/2020
100141,VANCOUVER - CLARK DR. ROADSIDE,METRO VANCOUVER - VANCOUVER (BC),BRITISH COLUMBIA,49.260267,-123.077776,30,5/1/2015
040203,SAINT JOHN - FOREST HILLS,SAINT JOHN (NB),NEW BRUNSWICK,45.308762,-66.008384,41,1/1/1980
