Station Name,Province,Latitude,Longitude,Climate ID,First Year,Last Year
AALDERSVILLE,NOVA SCOTIA,44.83,-64.51,8204020,2021,2026
BACCARO PT,NOVA SCOTIA,43.45,-65.47,8200255,2007,2026
BAS CARAQUET,NEW BRUNSWICK,47.8,-64.83,8100467,1993,2026
BATHURST A,NEW BRUNSWICK,47.63,-65.74,8100506,2016,2026
BEDFORD BASIN,NOVA SCOTIA,44.71,-63.63,8200573,2004,2026
BEDFORD RANGE,NOVA SCOTIA,44.75,-63.66,8200574,2004,2026
BERRY HILL,NEWFOUNDLAND AND LABRADOR,49.62,-57.92,8400506,2021,2026
BONAVISTA,NEWFOUNDLAND AND LABRADOR,48.67,-53.11,8400601,2006,2026
BURGEO NL,NEWFOUNDLAND AND LABRADOR,47.62,-57.62,8400801,2006,2026
CARIBOU POINT (AUT),NOVA SCOTIA,45.77,-62.68,8200774,1993,2026
CARTWRIGHT A,NEWFOUNDLAND AND LABRADOR,53.68,-57.04,8501106,2015,2026
CHARLO AUTO,NEW BRUNSWICK,47.99,-66.33,8100885,2003,2026
CHARLOTTETOWN A,PRINCE EDWARD ISLAND,46.29,-63.12,8300301,2012,2026
CHETICAMP HIGHLANDS NATIONAL PARK,NOVA SCOTIA,46.65,-60.95,8200828,2018,2026
CHURCHILL FALLS,NEWFOUNDLAND AND LABRADOR,53.56,-64.09,8501136,2023,2026
CHURCHILL FALLS A,NEWFOUNDLAND AND LABRADOR,53.56,-64.11,8501131,2011,2026
COLLEGEVILLE AUTO,NOVA SCOTIA,45.49,-62.01,8201001,2015,2026
CORMACK RCS,NEWFOUNDLAND AND LABRADOR,49.32,-57.39,8401295,2012,2026
CORNER BROOK,NEWFOUNDLAND AND LABRADOR,48.93,-57.92,8401298,1993,2026
DANIEL'S HARBOUR,NEWFOUNDLAND AND LABRADOR,50.24,-57.58,8401405,2018,2026
DEBERT,NOVA SCOTIA,45.42,-63.47,8201390,2003,2026
DEER LAKE A,NEWFOUNDLAND AND LABRADOR,49.21,-57.39,8401502,2012,2026
DOAKTOWN AUTO RCS,NEW BRUNSWICK,46.59,-66.01,8101201,2013,2026
